a_arcsec	e	i_deg	Omega_deg	omega_deg	tP_yr	T_yr
0.595	0.556	119.14	342.04	122.3	2001.8	166.0
0.1255	0.8839	134.18	226.94	65.51	2002.33	16.0
0.357	0.3905	80.33	258.84	290.8	1957.4	77.0
0.6574	0.84	87.24	85.07	116.23	2108.61	192.0
0.4047	0.8031	74.37	315.43	346.7	1983.64	92.9
0.2724	0.644	82.41	156.6	150.6	1976.71	51.3
0.2987	0.8883	33.56	230.1	317.9	1995.59	58.9
0.2641	0.425	24.7	74.5	245.2	2004.86	49.0
0.2863	0.9761	100.59	226.38	334.59	2000.12	55.3
0.3559	0.397	96.83	191.62	326.0	1991.19	76.6
0.2379	0.471	110.67	49.11	349.46	1993.86	41.9
0.52	0.75	71.96	344.6	155.2	2005.39	135.0
0.219	0.764	58.8	259.64	166.4	2027.4	37.0
1.31	0.449	105.76	291.7	95.0	1996.9	540.0
0.253	0.56	48.0	249.0	39.0	2024.7	45.8
0.944	0.897	103.67	7.93	290.0	2024.5	331.0
0.428	0.728	105.8	161.96	346.5	2025.96	101.0
0.449	0.5497	109.03	137.16	308.0	2018.07	108.0
0.657	0.608	60.5	100.1	303.7	1928.0	192.0
0.1416	0.8201	171.1	101.06	17.99	2003.19	19.2
0.37	0.9236	89.36	159.03	23.3	2000.06	81.1
0.95	0.567	67.16	196.14	35.8	2008.24	335.0
1.2	0.893	62.2	288.35	140.8	2004.46	477.0
0.1078	0.7209	150.1	325.5	331.5	2009.34	12.8
0.3877	0.7179	126.87	170.54	29.37	2023.89	87.1
1.502	0.128	128.5	92.3	134.0	1771.0	664.0
1.126	0.293	136.0	96.5	213.5	1705.0	431.0
0.973	0.899	74.0	35.16	337.8	1695.0	346.0
1.49	0.365	127.2	87.7	203.6	2046.8	656.0
4.6	0.78	84.78	107.36	156.3	1930.2	3580.0
2.74	0.224	119.54	106.32	336.1	611.0	1640.0
1.081	0.639	87.61	238.99	126.4	1783.0	406.0
1.917	0.303	114.49	105.35	356.4	1108.0	958.0
1.499	0.174	126.36	115.66	233.6	1646.0	662.0
2.32	0.35	113.0	113.2	28.0	2132.0	1270.0
1.12	0.5	83.7	263.92	185.0	1808.0	426.0
0.414	0.9867	88.53	326.83	68.52	2009.51	96.2
